state_code,county,lat,long,TEST_zipcode,TEST_county,TEST_state,TEST_population,TEST_population_density
MI,St. Clair,42.928803,-82.668913,48027,St. Clair County,MI,3249,87.0
MI,Washtenaw,42.252217,-83.843423,48103,Washtenaw County,MI,53057,815.0
MN,Dakota,44.670893,-93.062481,55068,Dakota County,MN,27490,642.0
MN,Hennepin,45.006121,-93.475228,55447,Hennepin County,MN,21187,2411.0
MN,Stearns,45.555234999999996,-94.61048199999999,56307,Stearns County,MN,5157,48.0
MO,Greene,37.258196000000005,-93.340641,65803,Greene County,MO,40902,440.0
NE,Cass,40.909878000000006,-96.140609,68463,Cass County,NE,1517,27.0
NV,Carson City,39.153059999999996,-119.747368,89701,Carson City,NV,27625,829.0
NJ,Essex,40.7874,-74.24629200000001,07052,Essex County,NJ,46182,3831.0
NJ,Morris,40.858896,-74.547292,07801,Morris County,NJ,25386,2591.0
NJ,Unknown,,,NOT FOUND,NOT FOUND,NOT FOUND,NOT FOUND,NOT FOUND
NY,Albany,42.58824,-73.97400999999999,12186,Albany County,NY,6277,198.0
NY,Delaware,42.193985999999995,-74.966728,13782,Delaware County,NY,755,21.0
NY,Dutchess,41.75477,-73.740041,12585,Dutchess County,NY,885,180.0
NY,Herkimer,43.407489,-75.01168299999999,13324,Herkimer County,NY,2149,18.0
NY,Orange,41.402409999999996,-74.306252,10916,Orange County,NY,4540,225.0
NC,Cabarrus,35.388346000000006,-80.552728,28025,Cabarrus County,NC,49160,451.0
NC,Forsyth,36.132466,-80.256961,27105,Forsyth County,NC,39568,1173.0
NC,Johnston,35.513419,-78.36734799999999,27577,Johnston County,NC,22911,220.0
NC,Mecklenburg,35.246862,-80.833832,28206,Mecklenburg County,NC,11898,1686.0
NC,Onslow,34.763109,-77.49946899999999,28540,Onslow County,NC,49252,477.0
OH,Trumbull,41.306374,-80.7704,44483,Trumbull County,OH,26006,1421.0
OR,Clackamas,45.160493,-122.195127,97023,Clackamas County,OR,9832,77.0
PA,Northampton,40.752790999999995,-75.307447,18064,Northampton County,PA,24073,627.0
PA,Pike,41.325949,-75.031514,18425,Pike County,PA,1354,60.0
TN,Knox,35.992726,-83.937721,37917,Knox County,TN,24072,2447.0
VA,Alexandria city,38.819251,-77.08367,22302,Alexandria city,VA,16485,7336.0
VA,Hanover,37.760215,-77.49131700000001,23005,Hanover County,VA,15227,226.0
VA,James City,37.324837,-76.777888,23188,James City County,VA,38733,395.0
VA,Prince Edward,37.224880999999996,-78.432957,23901,Prince Edward County,VA,16399,82.0
VA,Prince William,38.701119,-77.479579,20110,Manassas city,VA,43876,3475.0
WA,Columbia,46.29285,-117.911634,99328,Columbia County,WA,3733,6.0
WA,Grays Harbor,47.113732,-123.82673500000001,98520,Grays Harbor County,WA,23814,100.0
WA,Yakima,46.456558,-120.740145,98903,Yakima County,WA,14517,50.0
AL,Elmore,32.597229,-86.142735,36092,Elmore County,AL,20274,155.0
AL,Jefferson,33.553444,-86.896536,35214,Jefferson County,AL,19592,736.0
AL,Limestone,34.810239,-86.981399,35613,Limestone County,AL,20546,267.0
AL,Montgomery,32.202881,-86.204461,36116,Montgomery County,AL,43790,781.0
AL,Tuscaloosa,33.29022,-87.52278299999999,35406,Tuscaloosa County,AL,13864,164.0
CA,San Benito,36.611651,-121.085811,95043,San Benito County,CA,639,1.0
CO,Clear Creek,39.669732,-105.69256999999999,80452,Clear Creek County,CO,3097,24.0
CO,Pueblo,38.170658,-104.489892,81006,Pueblo County,CO,11513,203.0
CO,Routt,40.483664000000005,-106.987702,81639,Routt County,CO,2463,4.0
CO,Summit,39.621023,-106.137555,80424,Summit County,CO,9627,76.0
CO,Weld,40.555961,-104.383666,80622,Weld County,CO,268,20.0
FL,Orange,28.514390999999996,-81.323284,32812,Orange County,FL,32844,3822.0
FL,Osceola,28.059027,-81.139312,34771,Osceola County,FL,14280,171.0
GA,Gordon,34.509667,-84.873862,30735,Gordon County,GA,6153,99.0
GA,Henry,33.452946999999995,-84.154021,30253,Henry County,GA,49380,1018.0
ID,Ada,43.451477000000004,-116.244376,83705,Ada County,ID,26631,1854.0
IA,Harrison,41.688584000000006,-95.827149,51550,Harrison County,IA,181,322.0
KS,Butler,37.773649,-96.83884,67042,Butler County,KS,17969,70.0
LA,St. Charles,29.905721999999997,-90.357855,70039,St. Charles Parish,LA,2460,203.0
LA,St. Tammany,30.410021999999998,-89.951962,70448,St. Tammany Parish,LA,24851,1132.0
LA,Terrebonne,29.33413,-90.843674,70397,Terrebonne Parish,LA,1365,31.0
ME,Cumberland,43.808347999999995,-70.330375,04021,Cumberland County,ME,5820,282.0
